timestamps,acc_x,acc_y,acc_z,aAcc,aStages,aJerk,aVelocity,avStages,aHeight,jerks_direction,accelerations_direction,velocities_direction,heights_direction,start_jerks,start_accelerations,start_velocities,start_heights,actual_timestamps
1.5470000000000006,,,,0.5901402700627295,,0.2930812646794836,0.4255044171021831,,5.880711416550611,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.782
1.5620000000000012,,,,0.5955786555438288,,0.3061244786651766,0.43450840290497306,,5.9331612580499495,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.797
1.5779999999999994,,,,0.600805673741256,,0.2702540839311394,0.444197977657375,,5.9889582071648135,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.813
1.5940000000000012,,,,0.6050619911592517,,0.2095852852166043,0.45396341909470284,,6.044599516150171,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.829
1.6090000000000018,,,,0.6091784160160573,,0.2179937703789271,0.46318131600925927,,6.096620868286294,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.844
1.625,,,,0.6129316130271133,,0.1781402597829303,0.47307669635972616,,6.151957404346689,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.86
1.6400000000000006,,,,0.6174990146056346,,0.2480588851599786,0.4824160199277121,,6.203691146623953,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.875
1.6559999999999988,,,,0.6219629929964335,,0.2225640960168664,0.49245021610665063,,6.258718816895055,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.891
1.6720000000000006,,,,0.6248869676222705,,0.12631386070669048,0.5025435159097245,,6.313585467198294,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.907
1.7029999999999994,,,,0.6287617617487254,,0.0685588055098097,0.5222046651938372,,6.419428408199948,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.938
1.7190000000000012,,,,0.6325771452808945,,0.1820269173524407,0.532413876568198,,6.473818060025209,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.954
1.7340000000000018,,,,0.6353537079778936,,0.1286696263918361,0.5420344518283793,,6.524659635211648,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.969
1.75,,,,0.638127287854367,,0.11691418887151041,0.5523407999131593,,6.5787312333570895,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,31.985
1.7650000000000006,,,,0.6408840252849527,,0.12734794196427468,0.5620444786224454,,6.629273281417497,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,32.0
1.796999999999997,,,,0.6438418140094059,,0.0359963442310746,0.5828370922873987,,6.736608376601652,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,32.032
1.8119999999999976,,,,0.6472188922813197,,0.16870399805281422,0.5926311414453198,,6.786692302498068,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,32.047
1.828000000000003,,,,0.6515034643379743,,0.2113512001327299,0.6031394204164005,,6.839952738162566,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,32.063
1.8440000000000012,,,,0.6557417194587886,,0.20845639164282032,0.6137158820048962,,6.893044495902572,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,32.079
1.8590000000000018,,,,0.6584879195325294,,0.12664545150795048,0.6236836981580716,,6.9426639367007255,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,32.094
1.875,,,,0.6611417609130293,,0.109430532873168,0.6343592357197578,,6.995426193389093,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,32.11
1.8900000000000006,,,,0.6632407269911714,,0.0834965184680362,0.6444031982397793,,7.044735412783794,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,32.125
1.9059999999999988,,,,0.6664608351001214,,0.1448222034013007,0.6551593108546316,,7.097165512870404,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,32.141
1.921999999999997,,,,0.6696079297955536,,0.14025886505643498,0.6659663610919186,,7.149423107654215,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,32.157
1.953000000000003,,,,0.6731311735756959,,0.0572184717577595,0.6870084111730401,,7.250178536492896,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,32.188
1.9690000000000012,,,,0.6757614103849755,,0.1079552471718989,0.697918051962847,,7.301925724947154,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,32.204
1.9840000000000018,,,,0.6783336001268926,,0.1150447627197018,0.7081848584024266,,7.350279890768803,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,32.219
2.0,,,,0.6796972244060379,,0.028791964038491297,0.7191676051168119,,7.4016876712200315,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,32.235
2.0150000000000006,,,,0.6812844876718139,,0.049382997643636795,0.7294860618181365,,7.44972270636741,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,32.25
2.030999999999999,,,,0.6828062679005066,,0.038676710885203594,0.7405172879808366,,7.500789279728394,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,32.266
2.0619999999999976,,,,0.6850288173602906,,0.015260590455907302,0.7619483257812414,,7.599227600523847,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,32.297
2.078000000000003,,,,0.6859686236770771,,0.0,0.7730348054276668,,7.649774335633566,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,32.313
2.094000000000001,,,,0.6868775373267298,,0.0,0.7841360748338189,,7.700143568750832,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,32.329
2.1090000000000018,,,,0.6896992386059645,,0.1316788652075384,0.7945714945140545,,7.747203199630135,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,32.344
2.125,,,,0.6919687281537944,,0.08540854333128729,0.8057433383662542,,7.797227281126453,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,32.36
2.1400000000000006,,,,0.6951938582049754,,0.1585741166706257,0.8162581516246861,,7.843962207600924,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,32.375
2.155999999999999,,,,0.696922860422495,,0.051628085186888995,0.8275135854918272,,7.893638633863375,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,32.391
2.1869999999999976,,,,0.6978312653775306,,0.0271311677617855,0.8493618684205897,,7.989373602136496,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,32.422
2.203000000000003,,,,0.6987517607568831,,0.0,0.8606530327477913,,8.038520083086524,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,32.438
2.219000000000001,,,,0.7008091001605888,,0.0721491593235281,0.8719680197532531,,8.087485714825888,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,32.454
2.2340000000000018,,,,0.7032661489695756,,0.10736870052434859,0.8826096779824701,,8.133226319742292,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,32.469
2.25,,,,0.7056323662341805,,0.0914540256297215,0.8939993662222219,,8.181840047548008,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,32.485
2.2650000000000006,,,,0.7084690026175641,,0.1326745388174691,0.9047162203493504,,8.227249618298131,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,32.5
2.280999999999999,,,,0.7092035929734185,,0.0105226561671901,0.9161761012322001,,8.275509079884856,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,32.516
2.3119999999999976,,,,0.7098788190153266,,0.0346530681852559,0.9384014725968877,,8.36848966529925,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,32.547
2.328000000000003,,,,0.7115215867230679,,0.04623842832569949,0.9498911759609214,,8.416209924270191,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,32.563
2.344000000000001,,,,0.7138199215953983,,0.08721137611257111,0.9614124081455913,,8.46374609575669,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,32.579
2.3590000000000018,,,,0.7160980721056857,,0.0954421472777199,0.97224788695909,,8.508143581192826,up,up,up,down,0.0564345534080974,0.00740625738268,-3.926662509960483,-87.02575707377855,32.594
